Districts,ProstitutionCount,ProstitutionCount2003,ProstitutionCount2015,TotalCrime,TotalCrime2003,TotalCrime2015,VehicleTheftCount,VehicleTheftCount2003,VehicleTheftCount2015
SOUTHERN,636,18,96,364516,25692,30095,10626,1426,795
MISSION,7172,713,66,273386,21163,18542,16343,2063,1198
NORTHERN,3960,581,42,246991,18975,20092,14001,1879,945
BAYVIEW,135,11,7,203841,15739,14711,15818,2121,985
CENTRAL,1764,70,44,202342,13622,18565,9426,1193,552
TENDERLOIN,1989,527,23,180708,12737,10735,2249,371,113
INGLESIDE,68,5,5,179593,14008,13414,19767,2319,1368
TARAVAL,366,10,81,152067,11329,11966,13447,1665,789
PARK,16,2,1,115047,8219,9341,8998,1207,640
RICHMOND,57,15,9,105373,7692,9082,9149,1081,561
